id,identity,kind,location,managedBy,name,plan,properties,resourceGroup,sku/capacity,sku/family,sku/model,sku/name,sku/size,sku/tier,tags/costcentre,tags/environment,tags/live,type,sku,tags,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/HoylakeADF,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/EODStoreListSITApp,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourcegroups/Hoylake/providers/microsoft.insights/components/Dev-JSPartnerAPI,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourcegroups/Hoylake/providers/microsoft.insights/components/Dev-JSPartnerAPIForVersioning,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/FlatternXmlTotables-SITD2,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/FlatternXmlToTables-DevD2-App,plan/name,plan/product,plan/promotionCode,plan/publisher
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/DemoVM2_OsDisk_1_021ea8804e964b6f9a90d1ee2349b096,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/DemoVM2,DemoVM2_OsDisk_1_021ea8804e964b6f9a90d1ee2349b096,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/HgCheckVM1_OsDisk_1_e42e30bdf8f94fbcabf5532c2a36ea2d,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/HgCheckVM1,HgCheckVM1_OsDisk_1_e42e30bdf8f94fbcabf5532c2a36ea2d,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/HgCheckVM_OsDisk_1_4b953a27ad5b46bc95e998aad1aa4a9d,,,westeurope,,HgCheckVM_OsDisk_1_4b953a27ad5b46bc95e998aad1aa4a9d,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/hoylakevm_OsDisk_1_e06acf94fd97484e9b4829818ee334e7,,,westeurope,,hoylakevm_OsDisk_1_e06acf94fd97484e9b4829818ee334e7,,,HOYLAKE,,,,Premium_LRS,,Premium,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/HoyLakeVmDev_OsDisk_1_9a653ef5bc0c4d289754c2f47bd63e96,,,westeurope,,HoyLakeVmDev_OsDisk_1_9a653ef5bc0c4d289754c2f47bd63e96,,,HOYLAKE,,,,Premium_LRS,,Premium,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/jshoylakedevVM3_OsDisk_1_752f337d90a44885a952ed03dc38ac37,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedevVM3,jshoylakedevVM3_OsDisk_1_752f337d90a44885a952ed03dc38ac37,,,HOYLAKE,,,,Premium_LRS,,Premium,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/jshoylaketest1_OsDisk_1_5edbc125209341aaa457855eb979040e,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/jshoylaketest1,jshoylaketest1_OsDisk_1_5edbc125209341aaa457855eb979040e,,,HOYLAKE,,,,Premium_LRS,,Premium,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/JSWholeSaleHgVM_OsDisk_1_a75034c27b5e49ed92e1e74444da26e9,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/JSWholeSaleHgVM,JSWholeSaleHgVM_OsDisk_1_a75034c27b5e49ed92e1e74444da26e9,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/TestVM_OsDisk_1_d9b71050b46f480e93ef8833ce90b610,,,westeurope,,TestVM_OsDisk_1_d9b71050b46f480e93ef8833ce90b610,,,HOYLAKE,,,,Premium_LRS,,Premium,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/VMforAS1_OsDisk_1_dad81e0b66b149e8aff91f1f520beac1,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/VMforAS1,VMforAS1_OsDisk_1_dad81e0b66b149e8aff91f1f520beac1,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
